2500,16:18
3500,16:18
5000,16:18
6000,16:18
6500,16:18
7500,16:18
8000,16:18
10000,15:17
12000,15:17
12500,15:17
15000,15:17
20000,14:16
24000,14:16
25000,14:16
25475,14:16
26420,14:16
30000,14:16
32500,14:16
36481,14:16
38730,14:16
40000,13:15
41275,13:15
42240,13:15
45602,13:15
47750,13:15
47943,13:15
48000,13:15
48149,12:14
48767,12:14
48973,12:14
49177,12:14
49590,12:14
49794,12:14
50000,12:14
50204,12:14
50615,12:14
50819,12:14
51024,12:14
51639,12:14
52150,12:14
60000,12:14
72962,12:14
75000,12:14
77062,12:14
77477,12:14
77812,12:14
78000,12:14
78900,12:14
79291,12:14
79334,12:14
80000,12:14
80660,12:14
80728,12:14
80905,12:14
81326,12:14
81436,12:14
81529,12:14
81847,12:14
82662,12:14
83074,12:14
100000,11:13
106600,11:13
120000,11:13
135000,11:13
150000,11:13
160000,11:13
170000,11:13
175000,11:13
176253,11:13
180000,11:13
180789,11:13
185238,11:13
191730,11:13
194154,11:13
196948,11:13
200000,10:12
207840,10:12
209978,10:12
210668,10:12
216116,10:12
217828,10:12
220000,10:12
229376,10:12
232188,10:12
234270,10:12
240000,10:12
247482,10:12
250000,10:12
300000,10:12
326856,10:12
350000,10:12
378838,10:12
400000,10:12
419706,10:12
432720,10:12
449659,10:12
456394,10:12
458596,10:12
460732,10:12
466940,10:12
470940,10:12
500000,9:11
600000,9:11
642271,9:11
653219,9:11
663392,9:11
675000,9:11
700000,8:10
736560,8:10
811980,8:10
868003,8:10
875000,8:10
931650,8:10
969756,8:10
969761,8:10
1023188,8:10
1058400,8:10
1126321,8:10
1200000,8:10
1444000,8:10
1500000,7:9
1534076,7:9
1587870,7:9
1650000,7:9
2100000,7:9
2160000,7:9
3121170,7:9
3500000,7:9
4860700,6:8
10000000,6:8
